Epsilon,Alpha,Gamma,N,Score
0.1,0.001,0.9,500.0,537.0
0.1,0.001,0.9,2000.0,489.0
0.1,0.001,0.9,4000.0,537.0
0.1,0.001,0.9,10000.0,526.0
0.1,0.0001,0.9,500.0,-475.0
0.1,0.0001,0.9,2000.0,-475.0
0.1,0.0001,0.9,4000.0,-931.0
0.1,0.0001,0.9,10000.0,-475.0
0.3,0.001,0.9,500.0,-475.0
0.3,0.001,0.9,2000.0,513.0
0.3,0.001,0.9,4000.0,537.0
0.3,0.001,0.9,10000.0,530.0
0.3,0.0001,0.9,500.0,-475.0
0.3,0.0001,0.9,2000.0,506.0
0.3,0.0001,0.9,4000.0,-475.0
0.3,0.0001,0.9,10000.0,321.0
0.4,0.001,0.9,500.0,-931.0
0.4,0.001,0.9,2000.0,417.0
0.4,0.001,0.9,4000.0,525.0
0.4,0.001,0.9,10000.0,513.0
0.4,0.0001,0.9,500.0,-475.0
0.4,0.0001,0.9,2000.0,489.0
0.4,0.0001,0.9,4000.0,-463.0
0.4,0.0001,0.9,10000.0,537.0
