Epsilon,Alpha,Gamma,N,Score
0.1,0.001,0.9,500.0,529.0
0.1,0.001,0.9,2000.0,539.0
0.1,0.001,0.9,4000.0,553.0
0.1,0.001,0.9,10000.0,549.0
0.1,0.0001,0.9,500.0,562.0
0.1,0.0001,0.9,2000.0,497.0
0.1,0.0001,0.9,4000.0,364.0
0.1,0.0001,0.9,10000.0,535.0
0.3,0.001,0.9,500.0,541.0
0.3,0.001,0.9,2000.0,555.0
0.3,0.001,0.9,4000.0,523.0
0.3,0.001,0.9,10000.0,541.0
0.3,0.0001,0.9,500.0,559.0
0.3,0.0001,0.9,2000.0,549.0
0.3,0.0001,0.9,4000.0,549.0
0.3,0.0001,0.9,10000.0,555.0
0.4,0.001,0.9,500.0,531.0
0.4,0.001,0.9,2000.0,459.0
0.4,0.001,0.9,4000.0,521.0
0.4,0.001,0.9,10000.0,-484.0
0.4,0.0001,0.9,500.0,559.0
0.4,0.0001,0.9,2000.0,-931.0
0.4,0.0001,0.9,4000.0,557.0
0.4,0.0001,0.9,10000.0,549.0
