Lambda,Epsilon,Alpha,Gamma,N,Score
0.01,0.1,0.001,0.9,500.0,-486.0
0.01,0.1,0.001,0.9,2000.0,-486.0
0.01,0.1,0.001,0.9,4000.0,-475.0
0.01,0.1,0.001,0.9,10000.0,-475.0
0.01,0.1,0.0001,0.9,500.0,-487.0
0.01,0.1,0.0001,0.9,2000.0,-487.0
0.01,0.1,0.0001,0.9,4000.0,-487.0
0.01,0.1,0.0001,0.9,10000.0,-487.0
0.01,0.3,0.001,0.9,500.0,-495.0
0.01,0.3,0.001,0.9,2000.0,-485.0
0.01,0.3,0.001,0.9,4000.0,-475.0
0.01,0.3,0.001,0.9,10000.0,357.0
0.01,0.3,0.0001,0.9,500.0,-486.0
0.01,0.3,0.0001,0.9,2000.0,-495.0
0.01,0.3,0.0001,0.9,4000.0,-495.0
0.01,0.3,0.0001,0.9,10000.0,-495.0
0.01,0.4,0.001,0.9,500.0,-475.0
0.01,0.4,0.001,0.9,2000.0,-475.0
0.01,0.4,0.001,0.9,4000.0,525.0
0.01,0.4,0.001,0.9,10000.0,-475.0
0.01,0.4,0.0001,0.9,500.0,-485.0
0.01,0.4,0.0001,0.9,2000.0,-475.0
0.01,0.4,0.0001,0.9,4000.0,-475.0
0.01,0.4,0.0001,0.9,10000.0,-475.0
0.1,0.1,0.001,0.9,500.0,-487.0
0.1,0.1,0.001,0.9,2000.0,-486.0
0.1,0.1,0.001,0.9,4000.0,-475.0
0.1,0.1,0.001,0.9,10000.0,-1001.0
0.1,0.1,0.0001,0.9,500.0,-486.0
0.1,0.1,0.0001,0.9,2000.0,-487.0
0.1,0.1,0.0001,0.9,4000.0,-487.0
0.1,0.1,0.0001,0.9,10000.0,-487.0
0.1,0.3,0.001,0.9,500.0,-495.0
0.1,0.3,0.001,0.9,2000.0,-485.0
0.1,0.3,0.001,0.9,4000.0,-475.0
0.1,0.3,0.001,0.9,10000.0,-475.0
0.1,0.3,0.0001,0.9,500.0,537.0
0.1,0.3,0.0001,0.9,2000.0,-495.0
0.1,0.3,0.0001,0.9,4000.0,-495.0
0.1,0.3,0.0001,0.9,10000.0,-495.0
0.1,0.4,0.001,0.9,500.0,525.0
0.1,0.4,0.001,0.9,2000.0,-475.0
0.1,0.4,0.001,0.9,4000.0,-931.0
0.1,0.4,0.001,0.9,10000.0,-475.0
0.1,0.4,0.0001,0.9,500.0,-485.0
0.1,0.4,0.0001,0.9,2000.0,-485.0
0.1,0.4,0.0001,0.9,4000.0,-475.0
0.1,0.4,0.0001,0.9,10000.0,-475.0
0.2,0.1,0.001,0.9,500.0,-487.0
0.2,0.1,0.001,0.9,2000.0,-486.0
0.2,0.1,0.001,0.9,4000.0,-495.0
0.2,0.1,0.001,0.9,10000.0,-475.0
0.2,0.1,0.0001,0.9,500.0,-486.0
0.2,0.1,0.0001,0.9,2000.0,-487.0
0.2,0.1,0.0001,0.9,4000.0,-487.0
0.2,0.1,0.0001,0.9,10000.0,-487.0
0.2,0.3,0.001,0.9,500.0,-495.0
0.2,0.3,0.001,0.9,2000.0,-485.0
0.2,0.3,0.001,0.9,4000.0,-475.0
0.2,0.3,0.001,0.9,10000.0,554.0
0.2,0.3,0.0001,0.9,500.0,-486.0
0.2,0.3,0.0001,0.9,2000.0,-495.0
0.2,0.3,0.0001,0.9,4000.0,-495.0
0.2,0.3,0.0001,0.9,10000.0,-495.0
0.2,0.4,0.001,0.9,500.0,-475.0
0.2,0.4,0.001,0.9,2000.0,-475.0
0.2,0.4,0.001,0.9,4000.0,494.0
0.2,0.4,0.001,0.9,10000.0,-475.0
0.2,0.4,0.0001,0.9,500.0,-475.0
0.2,0.4,0.0001,0.9,2000.0,-475.0
0.2,0.4,0.0001,0.9,4000.0,-485.0
0.2,0.4,0.0001,0.9,10000.0,-475.0
