Lambda,Epsilon,Alpha,Gamma,N,Score
0.01,0.1,0.001,0.9,500.0,529.0
0.01,0.1,0.001,0.9,2000.0,549.0
0.01,0.1,0.001,0.9,4000.0,559.0
0.01,0.1,0.001,0.9,10000.0,562.0
0.01,0.1,0.0001,0.9,500.0,545.0
0.01,0.1,0.0001,0.9,2000.0,427.0
0.01,0.1,0.0001,0.9,4000.0,549.0
0.01,0.1,0.0001,0.9,10000.0,525.0
0.01,0.3,0.001,0.9,500.0,549.0
0.01,0.3,0.001,0.9,2000.0,525.0
0.01,0.3,0.001,0.9,4000.0,-931.0
0.01,0.3,0.001,0.9,10000.0,562.0
0.01,0.3,0.0001,0.9,500.0,549.0
0.01,0.3,0.0001,0.9,2000.0,393.0
0.01,0.3,0.0001,0.9,4000.0,551.0
0.01,0.3,0.0001,0.9,10000.0,539.0
0.01,0.4,0.001,0.9,500.0,543.0
0.01,0.4,0.001,0.9,2000.0,559.0
0.01,0.4,0.001,0.9,4000.0,557.0
0.01,0.4,0.001,0.9,10000.0,-467.0
0.01,0.4,0.0001,0.9,500.0,561.0
0.01,0.4,0.0001,0.9,2000.0,493.0
0.01,0.4,0.0001,0.9,4000.0,537.0
0.01,0.4,0.0001,0.9,10000.0,559.0
0.1,0.1,0.001,0.9,500.0,539.0
0.1,0.1,0.001,0.9,2000.0,533.0
0.1,0.1,0.001,0.9,4000.0,-467.0
0.1,0.1,0.001,0.9,10000.0,-454.0
0.1,0.1,0.0001,0.9,500.0,561.0
0.1,0.1,0.0001,0.9,2000.0,553.0
0.1,0.1,0.0001,0.9,4000.0,537.0
0.1,0.1,0.0001,0.9,10000.0,553.0
0.1,0.3,0.001,0.9,500.0,545.0
0.1,0.3,0.001,0.9,2000.0,513.0
0.1,0.3,0.001,0.9,4000.0,559.0
0.1,0.3,0.001,0.9,10000.0,561.0
0.1,0.3,0.0001,0.9,500.0,535.0
0.1,0.3,0.0001,0.9,2000.0,553.0
0.1,0.3,0.0001,0.9,4000.0,475.0
0.1,0.3,0.0001,0.9,10000.0,523.0
0.1,0.4,0.001,0.9,500.0,547.0
0.1,0.4,0.001,0.9,2000.0,551.0
0.1,0.4,0.001,0.9,4000.0,-475.0
0.1,0.4,0.001,0.9,10000.0,-445.0
0.1,0.4,0.0001,0.9,500.0,535.0
0.1,0.4,0.0001,0.9,2000.0,519.0
0.1,0.4,0.0001,0.9,4000.0,555.0
0.1,0.4,0.0001,0.9,10000.0,549.0
0.2,0.1,0.001,0.9,500.0,547.0
0.2,0.1,0.001,0.9,2000.0,533.0
0.2,0.1,0.001,0.9,4000.0,-473.0
0.2,0.1,0.001,0.9,10000.0,562.0
0.2,0.1,0.0001,0.9,500.0,557.0
0.2,0.1,0.0001,0.9,2000.0,557.0
0.2,0.1,0.0001,0.9,4000.0,529.0
0.2,0.1,0.0001,0.9,10000.0,541.0
0.2,0.3,0.001,0.9,500.0,561.0
0.2,0.3,0.001,0.9,2000.0,543.0
0.2,0.3,0.001,0.9,4000.0,560.0
0.2,0.3,0.001,0.9,10000.0,-467.0
0.2,0.3,0.0001,0.9,500.0,437.0
0.2,0.3,0.0001,0.9,2000.0,557.0
0.2,0.3,0.0001,0.9,4000.0,555.0
0.2,0.3,0.0001,0.9,10000.0,547.0
0.2,0.4,0.001,0.9,500.0,540.0
0.2,0.4,0.001,0.9,2000.0,437.0
0.2,0.4,0.001,0.9,4000.0,-1001.0
0.2,0.4,0.001,0.9,10000.0,-467.0
0.2,0.4,0.0001,0.9,500.0,557.0
0.2,0.4,0.0001,0.9,2000.0,545.0
0.2,0.4,0.0001,0.9,4000.0,539.0
0.2,0.4,0.0001,0.9,10000.0,557.0
