N0,Lambda,Gamma,N,Score
0.1,0.1,0.9,500.0,548.0
0.1,0.1,0.9,2000.0,536.0
0.1,0.1,0.9,4000.0,540.0
0.1,0.2,0.9,500.0,526.0
0.1,0.2,0.9,2000.0,538.0
0.1,0.2,0.9,4000.0,538.0
0.1,0.5,0.9,500.0,-4980.0
0.1,0.5,0.9,2000.0,-4970.0
0.1,0.5,0.9,4000.0,-4970.0
0.1,0.7,0.9,500.0,-4990.0
0.1,0.7,0.9,2000.0,-4990.0
0.1,0.7,0.9,4000.0,-4990.0
10.0,0.1,0.9,500.0,-4970.0
10.0,0.1,0.9,2000.0,-4980.0
10.0,0.1,0.9,4000.0,-4970.0
10.0,0.2,0.9,500.0,-4990.0
10.0,0.2,0.9,2000.0,-4990.0
10.0,0.2,0.9,4000.0,-4990.0
10.0,0.5,0.9,500.0,-4990.0
10.0,0.5,0.9,2000.0,-4990.0
10.0,0.5,0.9,4000.0,-4990.0
10.0,0.7,0.9,500.0,-4990.0
10.0,0.7,0.9,2000.0,-4990.0
10.0,0.7,0.9,4000.0,-4990.0
100.0,0.1,0.9,500.0,-4990.0
100.0,0.1,0.9,2000.0,-4990.0
100.0,0.1,0.9,4000.0,-4990.0
100.0,0.2,0.9,500.0,-4990.0
100.0,0.2,0.9,2000.0,-4990.0
100.0,0.2,0.9,4000.0,-4990.0
100.0,0.5,0.9,500.0,-4990.0
100.0,0.5,0.9,2000.0,-4990.0
100.0,0.5,0.9,4000.0,-4990.0
100.0,0.7,0.9,500.0,-4990.0
100.0,0.7,0.9,2000.0,-4990.0
100.0,0.7,0.9,4000.0,-4990.0
